gene,species,species_code,transcript_id,sequence_id,window_index,start,end,center,absolute_start,absolute_end,absolute_center,window_size,step_size,entropy_method,k,invalid_symbol_count,invalid_symbols,entropy,status,word_length,used_length
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,34,3300,4300,3800.0,3300,4300,3800.0,1000,100,jin,3,0,,0.947916622219533,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,35,3400,4400,3900.0,3400,4400,3900.0,1000,100,jin,3,0,,0.9383494803738519,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,36,3500,4500,4000.0,3500,4500,4000.0,1000,100,jin,3,0,,0.9354586859986654,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,37,3600,4600,4100.0,3600,4600,4100.0,1000,100,jin,3,0,,0.9490234540672606,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,38,3700,4700,4200.0,3700,4700,4200.0,1000,100,jin,3,0,,0.9507085031171271,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,39,3800,4800,4300.0,3800,4800,4300.0,1000,100,jin,3,0,,0.9638850820904449,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,40,3900,4900,4400.0,3900,4900,4400.0,1000,100,jin,3,0,,0.9662031285470299,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,41,4000,5000,4500.0,4000,5000,4500.0,1000,100,jin,3,0,,0.9607445619405283,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,42,4100,5100,4600.0,4100,5100,4600.0,1000,100,jin,3,0,,0.9630941194501293,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,43,4200,5200,4700.0,4200,5200,4700.0,1000,100,jin,3,0,,0.9622926103308411,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,44,4300,5300,4800.0,4300,5300,4800.0,1000,100,jin,3,0,,0.9589752283282008,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,45,4400,5400,4900.0,4400,5400,4900.0,1000,100,jin,3,0,,0.9603769194234101,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,46,4500,5500,5000.0,4500,5500,5000.0,1000,100,jin,3,0,,0.9605407263101974,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,47,4600,5600,5100.0,4600,5600,5100.0,1000,100,jin,3,0,,0.9576281424256076,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,48,4700,5700,5200.0,4700,5700,5200.0,1000,100,jin,3,0,,0.9576281424256076,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,49,4800,5800,5300.0,4800,5800,5300.0,1000,100,jin,3,0,,0.9623947642623834,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,50,4900,5900,5400.0,4900,5900,5400.0,1000,100,jin,3,0,,0.9636980405303827,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,51,5000,6000,5500.0,5000,6000,5500.0,1000,100,jin,3,0,,0.9364602943113706,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,52,5100,6100,5600.0,5100,6100,5600.0,1000,100,jin,3,0,,0.947916622219533,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,53,5200,6200,5700.0,5200,6200,5700.0,1000,100,jin,3,0,,0.9561296536248043,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,54,5300,6300,5800.0,5300,6300,5800.0,1000,100,jin,3,0,,0.9544362376040816,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,55,5400,6400,5900.0,5400,6400,5900.0,1000,100,jin,3,0,,0.9499719172337054,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,56,5500,6500,6000.0,5500,6500,6000.0,1000,100,jin,3,0,,0.944244500957922,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,57,5600,6600,6100.0,5600,6600,6100.0,1000,100,jin,3,0,,0.9407444255981128,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,58,5700,6700,6200.0,5700,6700,6200.0,1000,100,jin,3,0,,0.9423207433982167,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,59,5800,6800,6300.0,5800,6800,6300.0,1000,100,jin,3,0,,0.9329853085654894,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,60,5900,6900,6400.0,5900,6900,6400.0,1000,100,jin,3,0,,0.9485989355384498,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,61,6000,7000,6500.0,6000,7000,6500.0,1000,100,jin,3,0,,0.9530176213759072,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,62,6100,7100,6600.0,6100,7100,6600.0,1000,100,jin,3,0,,0.9545280587415537,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,63,6200,7200,6700.0,6200,7200,6700.0,1000,100,jin,3,0,,0.9645159074782549,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,64,6300,7300,6800.0,6300,7300,6800.0,1000,100,jin,3,0,,0.9674014199212558,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,65,6400,7400,6900.0,6400,7400,6900.0,1000,100,jin,3,0,,0.965390787895955,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,66,6500,7500,7000.0,6500,7500,7000.0,1000,100,jin,3,0,,0.9594000519576128,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,67,6600,7600,7100.0,6600,7600,7100.0,1000,100,jin,3,0,,0.947118642960889,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,68,6700,7700,7200.0,6700,7700,7200.0,1000,100,jin,3,0,,0.9545672190113983,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,69,6800,7800,7300.0,6800,7800,7300.0,1000,100,jin,3,0,,0.9589752283282008,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,70,6900,7900,7400.0,6900,7900,7400.0,1000,100,jin,3,0,,0.9616033235936651,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,71,7000,8000,7500.0,7000,8000,7500.0,1000,100,jin,3,0,,0.9598218943440173,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,72,7100,8100,7600.0,7100,8100,7600.0,1000,100,jin,3,0,,0.9362354132322089,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,73,7200,8200,7700.0,7200,8200,7700.0,1000,100,jin,3,0,,0.9392602901223411,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,74,7300,8300,7800.0,7300,8300,7800.0,1000,100,jin,3,0,,0.9489403670204438,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,75,7400,8400,7900.0,7400,8400,7900.0,1000,100,jin,3,0,,0.9391880713664685,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,76,7500,8500,8000.0,7500,8500,8000.0,1000,100,jin,3,0,,0.9433834117488926,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,77,7600,8600,8100.0,7600,8600,8100.0,1000,100,jin,3,0,,0.9680645484475331,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,78,7700,8700,8200.0,7700,8700,8200.0,1000,100,jin,3,0,,0.9669047897726696,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,79,7800,8800,8300.0,7800,8800,8300.0,1000,100,jin,3,0,,0.9619816197263381,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,80,7900,8900,8400.0,7900,8900,8400.0,1000,100,jin,3,0,,0.9670046376663182,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,81,8000,9000,8500.0,8000,9000,8500.0,1000,100,jin,3,0,,0.9662031285470299,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,82,8100,9100,8600.0,8100,9100,8600.0,1000,100,jin,3,0,,0.9636980405303827,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,83,8200,9200,8700.0,8200,9200,8700.0,1000,100,jin,3,0,,0.9630941194501293,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,84,8300,9300,8800.0,8300,9300,8800.0,1000,100,jin,3,0,,0.9517154991265556,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,85,8400,9400,8900.0,8400,9400,8900.0,1000,100,jin,3,0,,0.9429493860845036,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,86,8500,9500,9000.0,8500,9500,9000.0,1000,100,jin,3,0,,0.9535712975971317,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,87,8600,9600,9100.0,8600,9600,9100.0,1000,100,jin,3,0,,0.9628688923038117,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,88,8700,9700,9200.0,8700,9700,9200.0,1000,100,jin,3,0,,0.9636980405303827,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,89,8800,9800,9300.0,8800,9800,9300.0,1000,100,jin,3,0,,0.9628688923038117,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,90,8900,9900,9400.0,8900,9900,9400.0,1000,100,jin,3,0,,0.9622926103308411,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,91,9000,10000,9500.0,9000,10000,9500.0,1000,100,jin,3,0,,0.9535712975971317,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,92,9100,10100,9600.0,9100,10100,9600.0,1000,100,jin,3,0,,0.9294896799198021,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,93,9200,10200,9700.0,9200,10200,9700.0,1000,100,jin,3,0,,0.9465657273156838,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,94,9300,10300,9800.0,9300,10300,9800.0,1000,100,jin,3,0,,0.9545280587415537,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,95,9400,10400,9900.0,9400,10400,9900.0,1000,100,jin,3,0,,0.949387300628488,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,96,9500,10500,10000.0,9500,10500,10000.0,1000,100,jin,3,0,,0.960133183777173,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,97,9600,10600,10100.0,9600,10600,10100.0,1000,100,jin,3,0,,0.9423436476824985,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,98,9700,10700,10200.0,9700,10700,10200.0,1000,100,jin,3,0,,0.9538702923158953,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,99,9800,10800,10300.0,9800,10800,10300.0,1000,100,jin,3,0,,0.9638850820904449,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,100,9900,10900,10400.0,9900,10900,10400.0,1000,100,jin,3,0,,0.9661973784484325,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,101,10000,11000,10500.0,10000,11000,10500.0,1000,100,jin,3,0,,0.9716014466207348,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,102,10100,11100,10600.0,10100,11100,10600.0,1000,100,jin,3,0,,0.9712315236479658,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,103,10200,11200,10700.0,10200,11200,10700.0,1000,100,jin,3,0,,0.9616033235936651,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,104,10300,11300,10800.0,10300,11300,10800.0,1000,100,jin,3,0,,0.9572002951150315,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,105,10400,11400,10900.0,10400,11400,10900.0,1000,100,jin,3,0,,0.957939600702154,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,106,10500,11500,11000.0,10500,11500,11000.0,1000,100,jin,3,0,,0.944715972342415,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,107,10600,11600,11100.0,10600,11600,11100.0,1000,100,jin,3,0,,0.940730968531296,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,108,10700,11700,11200.0,10700,11700,11200.0,1000,100,jin,3,0,,0.9345120161444953,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,109,10800,11800,11300.0,10800,11800,11300.0,1000,100,jin,3,0,,0.9465330176696763,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,110,10900,11900,11400.0,10900,11900,11400.0,1000,100,jin,3,0,,0.9583527452381991,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,111,11000,12000,11500.0,11000,12000,11500.0,1000,100,jin,3,0,,0.9569588018513753,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,112,11100,12100,11600.0,11100,12100,11600.0,1000,100,jin,3,0,,0.9627192531553496,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,113,11200,12200,11700.0,11200,12200,11700.0,1000,100,jin,3,0,,0.9603769194234101,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,114,11300,12300,11800.0,11300,12300,11800.0,1000,100,jin,3,0,,0.9566828519308935,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,115,11400,12400,11900.0,11400,12400,11900.0,1000,100,jin,3,0,,0.958763069653047,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,116,11500,12500,12000.0,11500,12500,12000.0,1000,100,jin,3,0,,0.9659905911954758,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,117,11600,12600,12100.0,11600,12600,12100.0,1000,100,jin,3,0,,0.9634909017050671,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,118,11700,12700,12200.0,11700,12700,12200.0,1000,100,jin,3,0,,0.9618878122127906,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,119,11800,12800,12300.0,11800,12800,12300.0,1000,100,jin,3,0,,0.9701078966646213,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,120,11900,12900,12400.0,11900,12900,12400.0,1000,100,jin,3,0,,0.9613476148463196,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,121,12000,13000,12500.0,12000,13000,12500.0,1000,100,jin,3,0,,0.9567693807724708,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,122,12100,13100,12600.0,12100,13100,12600.0,1000,100,jin,3,0,,0.9345120161444953,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,123,12200,13200,12700.0,12200,13200,12700.0,1000,100,jin,3,0,,0.9594000519576128,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,124,12300,13300,12800.0,12300,13300,12800.0,1000,100,jin,3,0,,0.963617429328306,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,125,12400,13400,12900.0,12400,13400,12900.0,1000,100,jin,3,0,,0.9644189384475942,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,126,12500,13500,13000.0,12500,13500,13000.0,1000,100,jin,3,0,,0.95812969269448,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,127,12600,13600,13100.0,12600,13600,13100.0,1000,100,jin,3,0,,0.9471409581641611,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,128,12700,13700,13200.0,12700,13700,13200.0,1000,100,jin,3,0,,0.9374246576190938,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,129,12800,13800,13300.0,12800,13800,13300.0,1000,100,jin,3,0,,0.9423436476824985,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,130,12900,13900,13400.0,12900,13900,13400.0,1000,100,jin,3,0,,0.9661973784484325,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,131,13000,14000,13500.0,13000,14000,13500.0,1000,100,jin,3,0,,0.968187212723394,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,132,13100,14100,13600.0,13100,14100,13600.0,1000,100,jin,3,0,,0.9662031285470299,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,133,13200,14200,13700.0,13200,14200,13700.0,1000,100,jin,3,0,,0.9656015135046702,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,134,13300,14300,13800.0,13300,14300,13800.0,1000,100,jin,3,0,,0.9672938674634753,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,135,13400,14400,13900.0,13400,14400,13900.0,1000,100,jin,3,0,,0.9437914218071716,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,136,13500,14500,14000.0,13500,14500,14000.0,1000,100,jin,3,0,,0.9628688923038117,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,137,13600,14600,14100.0,13600,14600,14100.0,1000,100,jin,3,0,,0.9558981728656798,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,138,13700,14700,14200.0,13700,14700,14200.0,1000,100,jin,3,0,,0.9611467133414822,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,139,13800,14800,14300.0,13800,14800,14300.0,1000,100,jin,3,0,,0.963617429328306,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,140,13900,14900,14400.0,13900,14900,14400.0,1000,100,jin,3,0,,0.9540053232615208,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,141,14000,15000,14500.0,14000,15000,14500.0,1000,100,jin,3,0,,0.9598722000150895,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,142,14100,15100,14600.0,14100,15100,14600.0,1000,100,jin,3,0,,0.9658181198189637,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,143,14200,15200,14700.0,14200,15200,14700.0,1000,100,jin,3,0,,0.9534454686864833,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,144,14300,15300,14800.0,14300,15300,14800.0,1000,100,jin,3,0,,0.9618878122127906,ok,4,259
